feature,split,gain,total,null_imp,total_null
f003_pb4_lumi_mean,0.05701837469217656,0.1253347416890324,0.18235311638120896,0.05806285626493951,0.12429026011626945
f003_pb0_lumi_max-d-pb5_lumi_max,0.056450085243417325,0.12972781320173912,0.18617789844515645,0.0620838788531615,0.12409401959199495
f003_pb1_lumi_max-m-min,0.0927258950558818,0.07013377700200094,0.16285967205788274,0.04111797290911971,0.12174169914876302
f010_pb5_flux_q75-m-q25,0.12985413904148513,0.14823525965005407,0.2780893986915392,0.1565290584647941,0.12156034022674511
f003_pb0_lumi_max,0.07832922902064786,0.09711308099744212,0.17544231001809002,0.056707912685136336,0.11873439733295368
f014_d1_flux_norm3_q75,0.16035233945823074,0.009051926450455064,0.1694042659086858,0.050828406115163656,0.11857585979352214
f003_pb1_lumi_q75-m-q25,0.08126539117257056,0.07831433928177557,0.15957973045434615,0.042162693411009367,0.11741703704333678
f003_pb2_flux_err_median-d-pb3_flux_err_median,0.14614510323924987,0.12286643508412347,0.2690115383233733,0.15645102111346668,0.11256051720990665
f003_pb0_flux_ratio_sq_q90-d-pb5_flux_ratio_sq_q90,0.056923659784050014,0.15130506527920626,0.20822872506325624,0.09964164193633657,0.10858708312691967
f014_d0_flux_ratio_sq_q75,0.2601818526236029,0.013942417372442045,0.274124269996045,0.16600541481526748,0.10811885518077752
f014_d1_flux_norm3_q90,0.141598787649176,0.007263033457949445,0.14886182110712545,0.045706428410654996,0.10315539269647045
fbk1-007_pb0_flux_max-d-min,0.043568857738208,0.18758369683871026,0.23115255457691825,0.1295891554271994,0.10156339914971885
f001_hostgal_photoz,0.06620572078045085,0.03792572188676103,0.10413144266721187,0.01933647138024047,0.0847949712869714
f014_d0_flux_norm2_min,0.07207804508429627,0.01528440656759179,0.08736245165188808,0.0063803713219554746,0.08098208032993261
f015_pb5_d1_lumi_q25,0.010323924985792763,0.1481095897509601,0.15843351473675288,0.0778783387985106,0.08055517593824228
f002_flux_by_flux_ratio_sq_std-d-mean,0.15125970827808294,0.05257420525738861,0.2038339135354716,0.12342079003918101,0.08041312349629058
f015_pb4_d1_flux_norm3_max-d-min,0.01704868346277704,0.19581963296238644,0.2128683164251635,0.13514720812233014,0.07772110830283335
f003_pb0_lumi_max-d-pb4_lumi_max,0.05152491002083728,0.10480637785140376,0.15633128787224104,0.07912682772995333,0.07720446014228771
f002_a_2__skewness,0.13572646334533056,0.011168606197824072,0.14689506954315462,0.07379540716758201,0.07309966237557261
f003_pb0_flux_ratio_sq_mean-d-pb4_flux_ratio_sq_mean,0.05408221254025384,0.10854875609800478,0.16263096863825866,0.0917533530898472,0.07087761554841146
f015_pb2_d1_flux_by_flux_ratio_sq_std-d-pb5_d1_flux_by_flux_ratio_sq_std,0.015912104565258572,0.17766248347561414,0.19357458804087274,0.12425813513749286,0.06931645290337989
f014_d1_lumi_std,0.06308012881227505,0.0470578910040169,0.11013801981629197,0.042532578956711635,0.06760544085958034
f027_lumi_q25,0.03135063458988445,0.06652938526372491,0.09788001985360936,0.03043113564127064,0.06744888421233872
f015_pb5_d1_lumi_q75,0.011271074067058157,0.09676431438240213,0.10803538844946027,0.04198650525457461,0.06604888319488567
f015_pb2_d1_flux_norm3_min,0.13297973100966093,0.04354768664312509,0.176527417652786,0.11054544938802137,0.06598196826476464
f002_flux_by_flux_ratio_sq_max-d-min,0.09499905285091874,0.01003123501066037,0.10503028786157913,0.043706199806334105,0.06132408805524502
f015_pb5_d1_flux_mean,0.025288880469785942,0.11674597200353565,0.1420348524733216,0.08146764730174966,0.060567205171571936
f002_lumi_q25,0.044800151543852994,0.06756905753487487,0.11236920907872787,0.05219966435812392,0.06016954472060395
f003_pb2_flux_by_flux_ratio_sq_min-d-pb5_flux_by_flux_ratio_sq_min,0.22068573593483612,0.0019950477546753424,0.2226807836895115,0.16307712501241678,0.05960365867709472
